video_id,title,genre,genre_secondary
15692556471022,Hora de Aventura: Con Fionna y Cake,Animación,
15692993268462,Un show más,Animación,
15692132518638,Hora de Aventura,Animación,
15693794446062,Chowder,Animación,
15648010144494,Love Death & Robots,Ciencia Ficción,Animación
15618500987630,Crows Zero,Acción,
15635260508910,Heidi,Anime,Infantil
15649028639470,Blue Spring,Drama,
15633347906286,"Babe, el puerquito valiente",Comedia,Infantil
15626106112750,El final de la Calle Oak,Drama,
15624533641966,Tierra de pesadillas,Terror,
15606811134702,La gran aventura LEGO,Animación,Infantil
15606412217070,Ghost in the Shell: vigilante del futuro,Anime,Ciencia Ficción
15605367114478,Spider-Man: A través del Spider-Verso,Superhéroes,Acción
15591096912622,Las sombrías aventuras de Billy y Mandy,Animación,
15413314587374,"Coraje, el perro cobarde",Animación,
15574291843822,Los Simpsons,Animación,Comedia
15585783581422,Las Chicas Superpoderosas,Animación,
15584824789742,Futurama,Animación,Ciencia Ficción
15585125141230,Rick y Morty,Animación,
15574281423598,Oliver y su pandilla,Animación,Infantil
15572322618094,La Dama y el Vagabundo,Animación,Infantil
15572268288750,Bernardo y bianca,Animación,Infantil
15554668923630,Aladdín,Animación,
15555081013998,Zootopia 2,Animación,
15545912593134,"Jack, el cazagigantes",Aventura,Fantasía
15544357030638,Hoppers: Operación castor,Animación,
15540604701422,Chowder,Animación,
15532419844846,Batman: Knightfall Part 1: Knightfall,Superhéroes,Acción
15531879107310,LEGO Star Wars: The Mandalorian,Animación,Ciencia Ficción
15529764522734,Primal,Animación,Acción
15523563768558,Las maravillosas desventuras de Flapjack,Animación,
15523712797422,Hora de Aventura,Animación,
15524323199726,Los jóvenes titanes,Superhéroes,Acción
15523042888430,Mushka,Animación,Aventura
15521013959406,Haibane Renmei,Anime,Drama
15512146348782,Aika,Anime,Ciencia Ficción
15509235895022,Riki-Oh OVA 1 y 2,Anime,Acción
15508667763438,Plastic Little,Anime,Ciencia Ficción
15502026410734,Yu-Gi-Oh!,Anime,Aventura
15500152408814,Smallville,Superhéroes,Acción
