video_id,series_title
14398744169198,Los Caballeros del Zodiaco
14328363027182,Kenichi: El discípulo más fuerte
15443061574382,Ángel la niña de las flores
14543955299054,GTO: Great Teacher Onizuka
10019828402926,La Casa de los Dibujos
14029381831406,Death Note
14346295315182,Air Master
14618323258094,Heroman
14232022420206,Trigun
11123052317422,Evangelion
14495178099438,Air Gear
14648125164270,Toradora!
14528670468846,Kill la Kill
14450705173230,Blue Gender
14656001411822,Ergo Proxy
10100650412782,Claymore
10151662717678,Gantz
15464558037742,Desert Punk
14480387672814,Darling in the FranXX
14537217215214,Akame ga Kill!
10134148811502,Casshern Sins
11220684835566,Bubblegum Crisis Tokyo 2040
14221922732782,Cowboy Bebop
10482083171054,Happy Tree Friends
10209961904878,Hellsing Ultimate
14513146563310,Suisei no Gargantia
14435538766574,Dave el Bárbaro
10169764285166,Bubblegum Crisis 2032
10116989913838,Elfen Lied
14623440833262,Another
14513146497774,Prison School
10090842622702,Deadman Wonderland
10128116943598,Noblesse
14384151792366,Tetsuwan Birdy: Decode
11043091974894,Highschool of the Dead
10116869589742,Btooom!
10194397563630,Shigurui: Death Frenzy
14271154096878,Full Metal Panic? Fumoffu
10206843243246,Hellsing
15299830287086,Looney Tunes - El correcaminos
14566237473518,Megazone 23
13591769975534,Japón se hunde
14287646231278,Oruchuban Ebichu
15512146348782,Aika
